channel,mean,rms,meanerr,rmserr,tv
1247,2476.91,12.1579,0.209585,0.220392,9754
1246,2508.64,9.5991,0.188184,0.237374,9754
1245,2649.48,10.5767,0.197913,0.192661,9754
1244,2467.32,8.8582,0.189554,0.140825,9754
1156,2521.69,12.4651,0.156734,0.221103,9754
1243,2517.18,8.24791,0.230772,0.141295,9754
1157,2397.54,8.22106,0.155302,0.144208,9754
1242,2461.8,6.98194,0.210883,0.185607,9754
1158,2447.72,6.7525,0.132564,0.117924,9754
1241,2451.39,6.14037,0.181456,0.147638,9754
1159,2456.48,5.94785,0.0951192,0.17956,9754
1240,2401.62,5.57701,0.194707,0.19031,9754
1160,2429.82,6.32576,0.242696,0.254132,9754
1239,2405.91,5.33522,0.149538,0.169487,9754
1161,2411.91,4.74628,0.1461,0.156852,9754
1238,2488.06,5.03658,0.20849,0.196289,9754
1162,2403.94,4.75488,0.168102,0.161967,9754
1237,4095,0,0,0,9754
1154,2866.57,14.1532,0.312607,0.276505,9754
1438,685.898,4.98182,0.13239,0.115941,9754
1439,570.049,4.56718,0.13913,0.148757,9754
1440,647.488,4.57768,0.142211,0.102599,9754
1441,569.616,4.28713,0.169811,0.131155,9754
1442,555.377,4.76628,0.128864,0.122246,9754
1443,556.641,4.81971,0.108685,0.124585,9754
1444,567.34,9.32644,0.19689,0.0973613,9754
1445,533.231,4.7255,0.127784,0.121778,9754
1446,561.428,4.27434,0.140842,0.120539,9754
1447,569.415,6.69091,0.276426,0.172224,9754
1448,2160.36,0.951132,0.00,0.0109719,9754
1449,651.501,4.56628,0.182553,0.245643,9754
1450,620.137,5.36673,0.155424,0.147612,9754
1451,700.381,6.57144,0.205907,0.236342,9754
1146,2732.63,19.6272,0.321524,0.232149,9754
1163,2681.87,6.67616,0.357427,0.415115,9754
1424,615.501,4.56702,0.134916,0.15244,9754
1425,546.036,4.77194,0.126988,0.149131,9754
1426,590.546,4.23294,0.123384,0.124764,9754
1427,527.326,3.92966,0.115482,0.116189,9754
1428,512.099,4.67409,0.127532,0.191434,9754
1429,511.536,4.79438,0.178114,0.124649,9754
1430,498.163,6.75934,0.147254,0.112138,9754
1431,497.763,4.05142,0.0940348,0.100659,9754
1432,541.278,4.3908,0.109508,0.11006,9754
1433,604.956,3.99725,0.125824,0.100976,9754
1434,532.651,4.41567,0.117587,0.110866,9754
1435,646.17,3.95961,0.12606,0.100717,9754
1436,599.897,4.49901,0.123724,0.114011,9754
1437,655.423,4.69578,0.119194,0.126399,9754
1155,2601.31,18.8837,0.27549,0.229551,9754
1263,2591.41,6.33093,0.204261,0.174424,9754
1262,2439.22,6.26726,0.182234,0.174218,9754
1138,2440.28,7.02673,0.138674,0.160574,9754
1261,2428.3,7.7026,0.218723,0.213551,9754
1139,2381.42,9.6793,0.192189,0.164916,9754
1260,2414.26,6.96884,0.168721,0.172094,9754
1140,2463.32,10.4605,0.210152,0.200574,9754
1259,2425.69,8.2089,0.179453,0.141721,9754
1141,2447.34,12.6458,0.184759,0.243928,9754
1258,2432.94,9.40048,0.203118,0.193103,9754
1142,2407.71,15.2705,0.232028,0.341203,9754
1257,2408.48,7.2423,0.178308,0.163815,9754
1143,2526.65,13.6088,0.227669,0.25899,9754
1256,3176.36,1.69702,0.0482201,0.0298294,9754
1144,2484.85,16.9135,0.180421,0.291706,9754
1255,2489.43,10.5135,0.171018,0.179524,9754
1272,2583.33,5.07477,0.142584,0.168083,9754
1129,2465.09,5.02666,0.156638,0.174819,9754
1271,2452.06,4.4578,0.181968,0.142163,9754
1130,2450.84,1.89878,0.00,0.0447589,9754
1270,2410.08,4.48497,0.100178,0.12639,9754
1131,2477.11,8.55533,0.279726,0.248335,9754
1269,3839.75,6.86963,0.482225,0.172146,9754
1132,2434.03,3.59384,0.142819,0.172368,9754
1268,2457.98,4.92902,0.122143,0.145533,9754
