channel, mean, rms, meaner, rmserr, tv
1815,806.66,5.91,0,0,1
1813,793.38,5.78,0,0,1
1811,812.34,5.66,0,0,1
1809,778.27,4.85,0,0,1
1808,798.25,5.18,0,0,1
1807,798.79,5.29,0,0,1
1806,796.21,5.57,0,0,1
1804,775.98,4.42,0,0,1
1802,785.07,5.28,0,0,1
1800,789.9,5.2,0,0,1
1798,786.45,5.42,0,0,1
1796,806.21,5.54,0,0,1
1794,820.33,4.96,0,0,1
1792,808.72,5.84,0,0,1
1871,807.44,5.54,0,0,1
1869,806.47,6.01,0,0,1
1867,774.86,4.38,0,0,1
1865,758.61,4.34,0,0,1
1863,767.05,4.28,0,0,1
1861,731.26,4.59,0,0,1
1859,767.81,4.38,0,0,1
1857,762.21,4.05,0,0,1
1856,3920.37,1.6,0,0,1
1887,766.47,4.36,0,0,1
1886,755.04,4.77,0,0,1
1884,753.29,5.32,0,0,1
1882,743.41,5.12,0,0,1
1880,747.49,5.44,0,0,1
1878,759.78,3.7,0,0,1
1876,766.36,5.07,0,0,1
1874,760.65,3.78,0,0,1
1872,743.71,6.46,0,0,1
1951,797.41,5.53,0,0,1
1949,774.38,3.89,0,0,1
1947,779.11,4.63,0,0,1
1945,788.63,4.6,0,0,1
1943,823.75,4.12,0,0,1
1941,816.06,5.17,0,0,1
1939,791.17,4.57,0,0,1
1937,833.13,4.18,0,0,1
1936,820.72,4.62,0,0,1
1935,836.59,3.49,0,0,1
1934,824.99,4.08,0,0,1
1932,805.71,4.9,0,0,1
1930,809.79,5.12,0,0,1
1928,791.54,4.67,0,0,1
1926,779.31,4.32,0,0,1
1924,775.16,4.32,0,0,1
1922,805.16,5.54,0,0,1
1920,809,5.61,0,0,1
1999,795.99,5.39,0,0,1
1997,786.83,4.92,0,0,1
1995,774.51,4.83,0,0,1
1993,802.7,5.59,0,0,1
1991,817.29,5.71,0,0,1
1989,788.01,5.12,0,0,1
1987,806.15,5.75,0,0,1
1985,773.96,4.38,0,0,1
1984,765.13,5.35,0,0,1
2015,789.71,5.22,0,0,1
2014,785.09,5.09,0,0,1
2012,764.51,5.25,0,0,1
2010,764.94,5.18,0,0,1
2008,742.1,5.68,0,0,1
2006,753.84,5.01,0,0,1
2004,758.8,3.89,0,0,1
2002,745.48,5.23,0,0,1
2000,747.01,7.19,0,0,1
1567,764.37,4.6,0,0,1
1565,756.35,4.98,0,0,1
1563,766.9,4.6,0,0,1
1561,751.27,5.57,0,0,1
1559,756.66,4.91,0,0,1
1557,760.37,4.71,0,0,1
1555,774.01,4.09,0,0,1
1553,751.68,5.68,0,0,1
1552,757.29,4.61,0,0,1
1551,760.81,4.48,0,0,1
1550,752.57,5.46,0,0,1
1548,724.84,5.14,0,0,1
1546,742.47,6.41,0,0,1
1544,745.77,5.35,0,0,1
1542,744.43,5.61,0,0,1
1540,724.66,4.85,0,0,1
1538,753.35,4.42,0,0,1
1536,735.38,4.89,0,0,1
1615,741.98,4.96,0,0,1
1613,753.08,4.13,0,0,1
1611,740.86,4.98,0,0,1
1609,724.63,4.72,0,0,1
1607,735.34,5.22,0,0,1
1605,711.64,3.51,0,0,1
1603,709.49,4.22,0,0,1
1601,736.22,4.82,0,0,1
1600,739.97,4.78,0,0,1
1631,3203.17,0.87,0,0,1
1630,791.6,5.63,0,0,1
1628,777.99,4.54,0,0,1
1626,780.14,4.39,0,0,1
1624,791.96,4.75,0,0,1
1622,776.56,4.1,0,0,1
1620,774.21,3.9,0,0,1
1618,796.78,4.58,0,0,1
1616,774.67,3.9,0,0,1
1695,799.26,4.69,0,0,1
1693,820.25,4.55,0,0,1
1691,787.08,4.51,0,0,1
1689,804.25,4.79,0,0,1
1687,788.3,4.35,0,0,1
1685,786.46,4.7,0,0,1
1683,777.23,3.38,0,0,1
1681,750.67,5.88,0,0,1
1680,812.78,6.5,0,0,1
1679,798.03,5.39,0,0,1
1678,790.64,5.05,0,0,1
1676,807.56,5.91,0,0,1
1674,791.52,5.11,0,0,1
1672,807.21,5.41,0,0,1
1670,798.75,5.52,0,0,1
1668,791.88,5.14,0,0,1
1666,812.97,5.63,0,0,1
1664,815.47,5.72,0,0,1
1743,824.33,4.47,0,0,1
1741,820.34,5.69,0,0,1
1739,810.62,5.9,0,0,1
1737,845.78,5.12,0,0,1
1735,814.45,5.96,0,0,1
